time,num_links,connectivity
0.1,102,0.971429
0.2,102,0.971429
0.3,102,0.971429
0.4,102,0.971429
0.5,102,0.971429
0.6,102,0.971429
0.7,102,0.971429
0.8,102,0.971429
0.9,102,0.971429
1,102,0.971429
1.1,102,0.971429
1.2,102,0.971429
1.3,102,0.971429
1.4,102,0.971429
1.5,102,0.971429
1.6,102,0.971429
1.7,102,0.971429
1.8,102,0.971429
1.9,102,0.971429
2,102,0.971429
2.1,102,0.971429
2.2,102,0.971429
2.3,102,0.971429
2.4,102,0.971429
2.5,102,0.971429
2.6,102,0.971429
2.7,102,0.971429
2.8,102,0.971429
2.9,102,0.971429
3,102,0.971429
3.1,102,0.971429
3.2,102,0.971429
3.3,102,0.971429
3.4,102,0.971429
3.5,102,0.971429
3.6,102,0.971429
3.7,102,0.971429
3.8,102,0.971429
3.9,102,0.971429
4,102,0.971429
4.1,102,0.971429
4.2,102,0.971429
4.3,102,0.971429
4.4,102,0.971429
4.5,102,0.971429
4.6,102,0.971429
4.7,102,0.971429
4.8,102,0.971429
4.9,102,0.971429
5,102,0.971429
5.1,102,0.971429
5.2,102,0.971429
5.3,102,0.971429
5.4,102,0.971429
5.5,102,0.971429
5.6,102,0.971429
5.7,102,0.971429
5.8,102,0.971429
5.9,102,0.971429
6,102,0.971429
6.1,102,0.971429
6.2,102,0.971429
6.3,102,0.971429
6.4,102,0.971429
6.5,102,0.971429
6.6,102,0.971429
6.7,102,0.971429
6.8,102,0.971429
6.9,102,0.971429
7,102,0.971429
7.1,102,0.971429
7.2,102,0.971429
7.3,102,0.971429
7.4,102,0.971429
7.5,102,0.971429
7.6,102,0.971429
7.7,102,0.971429
7.8,102,0.971429
7.9,102,0.971429
8,102,0.971429
8.1,102,0.971429
8.2,102,0.971429
8.3,102,0.971429
8.4,102,0.971429
8.5,102,0.971429
8.6,102,0.971429
8.7,102,0.971429
8.8,102,0.971429
8.9,102,0.971429
9,102,0.971429
9.1,102,0.971429
9.2,102,0.971429
9.3,102,0.971429
9.4,102,0.971429
9.5,102,0.971429
9.6,102,0.971429
9.7,102,0.971429
9.8,102,0.971429
9.9,102,0.971429
10,102,0.971429
10.1,102,0.971429
10.2,102,0.971429
10.3,102,0.971429
10.4,102,0.971429
10.5,102,0.971429
10.6,102,0.971429
10.7,102,0.971429
10.8,102,0.971429
10.9,102,0.971429
11,102,0.971429
11.1,102,0.971429
11.2,102,0.971429
11.3,102,0.971429
11.4,102,0.971429
11.5,102,0.971429
11.6,102,0.971429
11.7,102,0.971429
11.8,102,0.971429
11.9,102,0.971429
12,102,0.971429
12.1,102,0.971429
12.2,102,0.971429
12.3,102,0.971429
12.4,102,0.971429
12.5,102,0.971429
12.6,102,0.971429
12.7,102,0.971429
12.8,102,0.971429
12.9,102,0.971429
13,102,0.971429
13.1,102,0.971429
13.2,102,0.971429
13.3,103,0.980952
13.4,103,0.980952
13.5,103,0.980952
13.6,103,0.980952
13.7,104,0.990476
13.8,104,0.990476
13.9,104,0.990476
14,104,0.990476
14.1,104,0.990476
14.2,104,0.990476
14.3,104,0.990476
14.4,104,0.990476
14.5,104,0.990476
14.6,104,0.990476
14.7,105,1
14.8,105,1
14.9,105,1
15,105,1
15.1,105,1
15.2,105,1
15.3,105,1
15.4,105,1
15.5,105,1
15.6,105,1
15.7,105,1
15.8,105,1
15.9,105,1
16,105,1
16.1,105,1
16.2,105,1
16.3,105,1
16.4,105,1
16.5,105,1
16.6,105,1
16.7,105,1
16.8,105,1
16.9,105,1
17,105,1
17.1,105,1
17.2,105,1
17.3,105,1
17.4,105,1
17.5,105,1
17.6,105,1
17.7,105,1
17.8,105,1
17.9,105,1
18,105,1
18.1,105,1
18.2,105,1
18.3,105,1
18.4,105,1
18.5,105,1
18.6,105,1
18.7,105,1
18.8,105,1
18.9,105,1
19,105,1
19.1,105,1
19.2,105,1
19.3,105,1
19.4,105,1
19.5,105,1
19.6,105,1
19.7,105,1
19.8,105,1
19.9,105,1
20,105,1
20.1,105,1
20.2,105,1
20.3,105,1
20.4,105,1
20.5,105,1
20.6,105,1
20.7,105,1
20.8,105,1
20.9,105,1
21,105,1
21.1,105,1
21.2,105,1
21.3,105,1
21.4,105,1
21.5,105,1
21.6,105,1
21.7,105,1
21.8,105,1
21.9,105,1
22,105,1
22.1,105,1
22.2,105,1
22.3,105,1
22.4,105,1
22.5,105,1
22.6,105,1
22.7,105,1
22.8,105,1
22.9,105,1
23,105,1
23.1,105,1
23.2,105,1
23.3,105,1
23.4,105,1
23.5,105,1
23.6,105,1
23.7,105,1
23.8,105,1
23.9,105,1
24,105,1
24.1,105,1
24.2,105,1
24.3,105,1
24.4,105,1
24.5,105,1
24.6,105,1
24.7,105,1
24.8,105,1
24.9,105,1
25,105,1
25.1,105,1
25.2,105,1
25.3,105,1
25.4,105,1
25.5,105,1
25.6,105,1
25.7,105,1
25.8,105,1
25.9,105,1
26,105,1
26.1,105,1
26.2,105,1
26.3,105,1
26.4,105,1
26.5,105,1
26.6,105,1
26.7,105,1
26.8,105,1
26.9,105,1
27,105,1
27.1,105,1
27.2,105,1
27.3,105,1
27.4,105,1
27.5,105,1
27.6,105,1
27.7,105,1
27.8,105,1
27.9,105,1
28,105,1
28.1,105,1
28.2,105,1
28.3,105,1
28.4,105,1
28.5,105,1
28.6,105,1
28.7,105,1
28.8,105,1
28.9,105,1
29,105,1
29.1,105,1
29.2,105,1
29.3,105,1
29.4,105,1
29.5,105,1
29.6,105,1
29.7,105,1
29.8,105,1
29.9,105,1
30,105,1
30.1,105,1
30.2,105,1
30.3,105,1
30.4,105,1
30.5,105,1
30.6,105,1
30.7,105,1
30.8,105,1
30.9,105,1
31,105,1
31.1,105,1
31.2,105,1
31.3,105,1
31.4,105,1
31.5,105,1
31.6,105,1
31.7,105,1
31.8,105,1
31.9,105,1
32,105,1
32.1,105,1
32.2,105,1
32.3,105,1
32.4,105,1
32.5,105,1
32.6,105,1
32.7,105,1
32.8,105,1
32.9,105,1
33,105,1
33.1,105,1
33.2,105,1
33.3,105,1
33.4,105,1
33.5,105,1
33.6,105,1
33.7,105,1
33.8,105,1
33.9,105,1
34,105,1
34.1,105,1
34.2,105,1
34.3,105,1
34.4,105,1
34.5,105,1
34.6,105,1
34.7,105,1
34.8,105,1
34.9,105,1
35,105,1
35.1,105,1
35.2,105,1
35.3,105,1
35.4,105,1
35.5,105,1
35.6,105,1
35.7,105,1
35.8,105,1
35.9,105,1
36,105,1
36.1,105,1
36.2,105,1
36.3,105,1
36.4,105,1
36.5,105,1
36.6,105,1
36.7,105,1
36.8,105,1
36.9,105,1
37,105,1
37.1,105,1
37.2,105,1
37.3,105,1
37.4,105,1
37.5,105,1
37.6,105,1
37.7,105,1
37.8,105,1
37.9,105,1
38,105,1
38.1,105,1
38.2,105,1
